99;2008-01-06;CD portatil;39; ; ; ; ; ; ;;
100;2008-03-31;Luna Peugeot;416;En Carglas. ; ; ; ; ; ;;
101;2008-05-15;Gigaset M740 AV;50; ;upload/SiemensLinux.jpg;upload/compras_imgiPad de Juan Jose000042.jpg; ; ; ;;
102;2008-06-05;Navegador Navman N20;129; ;upload/Navman.jpg; ; ; ; ;;
103;2008-06-20;Bici BMX;190; ;upload/compras_imgiPad de Juan Jose000039.jpg;upload/compras_imgiPad de Juan Jose000040.jpg; ; ; ;;
104;2008-07-03;Asus EeePC;299; ;upload/EeePC.jpg; ; ; ; ;;
105;2008-08-29;Camara SONY Cybershot;229; ;upload/SonyCybershot02.jpg;upload/SonyCybershot.jpg; ; ; ;;
106;2008-11-06;Accidente Megane;4800;Mati nos presta 4500€. Se los vamos a devolver con el curso de FPO; ; ; ; ; ;;
107;2008-11-21;PC Alvaro;350;HDD 250Gb. RAM 2Gb. Video nVidia 512. CPU Pentium 2Core. ;upload/compras_imgiPad de Juan Jose000011_1.jpg; ; ; ; ;;
108;2009-05-09;Nokia 6120 Classic Alo;21; ; ; ; ; ; ;;
109;2009-05-09;Samsung J700 Josema;20; ;upload/SamsungMini01.jpg; ; ; ; ;;
110;2009-05-15;Tarjeta red Conceptronic Alo;14; ;upload/2015-04-10 22.25.55.png; ; ; ; ;;
111;2009-06-13;Nintendo DSI;164; ; ; ; ; ; ;;
112;2009-06-15;DSi Josema;164; ; ; ; ; ; ;;
113;2009-06-22;Lamparas pasillo;28;28.45 Cada una. ;upload/compras_imgiPad de Juan Jose000026.jpg; ; ; ; ;;
114;2009-06-22;Monomando baño chico;19; ;upload/IMG_20160715_075412.jpg; ; ; ; ;;
115;2009-06-22;Lampara Alo;13; ;upload/compras_imgiPad de Juan Jose000025.jpg; ; ; ; ;;
116;2009-06-29;Mosquiteras;32;32.50 Cada una.. ; ; ; ; ; ;;
